Orders export - internal use
Generated 2024-12-31 by the shop system
Dates: yyyy-mm-dd or dd/mm/yyyy. Amounts EUR. "-" means no amount recorded.
order_id,customer_id,order_date,amount,status
1001,5,01/02/2024,"€1,488.23",refunded
1002,9,05/06/2024,"-",paid
1003,1,2024-04-20,"€1,148.48",paid
1004,2,2024-12-16,"€1,064.70",refunded
1005,1,2024-04-26,"€107.57",paid
1006,10,2024-04-24,"€919.73",paid
1007,11,2024-06-19,"-",refunded
1008,12,19/08/2024,"€1,982.90",paid
1009,3,2024-09-11,"€1,689.95",paid
1010,2,2024-02-14,"n/a",paid
1011,10,04/06/2024,"€936.74",paid
1012,8,07/09/2024,"€660.88",paid
1013,12,08/08/2024,"€834.09",paid
1014,7,15/03/2024,"€2,438.02",paid
1015,7,2024-01-06,"€2,027.72",paid
1016,12,2024-01-18,"-",refunded
1017,6,2024-01-26,"€954.96",paid
1018,2,2024-05-15,"€1,379.72",refunded
1019,4,04/02/2024,"€1,399.72",paid
1020,5,2024-02-14,"€429.03",paid
1021,6,14/11/2024,"€2,038.11",refunded
1022,12,2024-11-24,"-",paid
1023,7,2024-05-25,"€2,153.91",paid
1024,2,2024-01-21,"€365.25",refunded
1025,3,2024-11-03,"€857.94",paid
1026,9,2024-08-26,"€1,135.00",paid
1027,6,01/07/2024,"€1,968.29",paid
1028,4,2024-11-01,"€449.45",refunded
1029,2,23/07/2024,"€707.61",paid
1030,5,08/02/2024,"€2,194.01",refunded
1031,1,2024-11-15,"€1,520.58",paid
1032,7,2024-06-26,"€769.39",paid
1033,7,2024-01-14,"€2,219.47",refunded
1034,9,2024-05-23,"€240.94",paid
1035,3,2024-09-12,"€293.77",refunded
1036,5,25/10/2024,"€1,116.49",paid
1037,2,25/04/2024,"€2,456.88",refunded
1038,7,2024-02-09,"€517.05",paid
1039,3,17/12/2024,"€1,001.40",paid
1040,2,23/10/2024,"€1,643.78",paid
1041,2,2024-12-06,"-",paid
1042,12,2024-05-16,"€2,243.71",paid
1043,1,25/10/2024,"€1,486.67",paid
1044,3,2024-06-03,"€416.88",paid
1045,7,2024-06-25,"€1,556.71",refunded
1046,9,2024-11-08,"€1,867.11",paid
1047,11,2024-11-05,"€904.37",paid
1048,8,12/07/2024,"€1,815.91",paid
1049,6,2024-07-14,"€165.19",paid
1050,8,19/03/2024,"€2,328.99",paid
1051,6,22/01/2024,"€754.68",paid
1052,6,16/10/2024,"€2,419.45",refunded
1053,8,22/04/2024,"€1,937.55",paid
1054,1,2024-07-21,"€968.47",paid
1055,7,12/07/2024,"€2,437.33",paid
1056,3,2024-10-03,"€1,882.98",refunded
1057,2,2024-07-16,"€1,722.50",paid
1058,10,2024-01-25,"€1,309.98",paid
1059,6,09/05/2024,"€1,765.25",refunded
1060,9,10/09/2024,"-",paid
